feature_number,label,financial_activation,general_activation,specialization,num_financial_examples,num_general_examples
127,Stock market trading and volatility,-25.888821411132813,-34.28869476318359,8.39987335205078,5,5
141,Stock market trading and volatility,-25.16192970275879,-33.43642234802246,8.27449264526367,5,5
384,Stock market trading and volatility,-23.743398666381836,-31.607568359375,7.8641696929931655,5,5
3,"Closed at 4,200 points (represents stock market trading and volatility)",-18.824456787109376,-25.07686767578125,6.252410888671875,5,5
90,,-16.70792598724365,-22.239592361450196,5.531666374206544,5,5
1,(12,-15.30633773803711,-20.309233474731446,5.002895736694336,5,5
156,,-13.607425880432128,-18.03993339538574,4.432507514953613,5,5
25,,-10.132396221160889,-13.667765808105468,3.5353695869445794,5,5
373,Stock market trading and volatility,-10.267250061035156,-13.533896446228027,3.266646385192871,5,5
2,Stock market trading and volatility,-9.790825271606446,-12.928483772277833,3.137658500671387,5,5
297,,-9.2617769241333,-12.330031585693359,3.068254661560058,5,5
0,(7,-9.083836269378661,-11.989706802368165,2.9058705329895034,5,5
53,,-8.518636512756348,-11.209129333496094,2.6904928207397454,5,5
32,,-8.285526275634766,-10.956099510192871,2.6705732345581055,5,5
347,Stock market trading and volatility,-8.15074462890625,-10.792097663879394,2.641353034973145,5,5
17,"Closed at 4,200 points (represents stock market trading and volatility)",-8.12239475250244,-10.70881175994873,2.5864170074462898,5,5
125,,-7.510282516479492,-9.954423522949218,2.444141006469726,5,5
237,,-7.194117736816406,-9.557462692260742,2.3633449554443358,5,5
269,,-7.300491237640381,-9.533336067199707,2.232844829559326,5,5
14,,-6.661938285827636,-8.817312431335449,2.155374145507812,5,5
9,,-6.533888149261474,-8.663683891296387,2.1297957420349123,5,5
372,"* 4.225: Stock market performance (specifically, the S&P 500 index)",-6.527177715301514,-8.54529333114624,2.018115615844726,5,5
166,,-6.36958532333374,-8.329155349731446,1.9595700263977056,5,5
8,(4,-5.554995536804199,-7.358143138885498,1.8031476020812987,5,5
80,"Closed at 4,200 points (represents stock market trading and volatility)",-5.2108160018920895,-6.935019397735596,1.7242033958435066,5,5
247,Stock market trading and volatility,-5.080791664123535,-6.698318386077881,1.6175267219543459,5,5
12,"- <<The S&P 500 index closed at 4,200 points, up",-4.978598403930664,-6.586023044586182,1.607424640655518,5,5
162,,-5.160378456115723,-6.762098979949951,1.6017205238342287,5,5
176,,-4.924871730804443,-6.483487701416015,1.558615970611572,5,5
296,,-4.934780168533325,-6.471871185302734,1.5370910167694092,5,5
