feature_number,financial_activation,general_activation,specialization,rank
141,-28.768112182617188,-40.072994232177734,11.304882049560547,1
127,-29.550212860107422,-40.80727767944336,11.257064819335938,2
384,-27.151809692382812,-37.780052185058594,10.628242492675781,3
3,-21.577301025390625,-30.025827407836914,8.448526382446289,4
90,-19.102275848388672,-26.58019256591797,7.477916717529297,5
1,-17.474838256835938,-24.2536563873291,6.778818130493164,6
156,-15.556123733520508,-21.601642608642578,6.04551887512207,7
25,-11.684349060058594,-16.505596160888672,4.821247100830078,8
373,-11.68198299407959,-16.123870849609375,4.441887855529785,9
2,-11.164921760559082,-15.487785339355469,4.322863578796387,10
297,-10.593246459960938,-14.68977165222168,4.096525192260742,11
0,-10.366409301757812,-14.338626861572266,3.972217559814453,12
53,-9.70455551147461,-13.32882022857666,3.624264717102051,13
32,-9.43516731262207,-13.04326343536377,3.608096122741699,14
17,-9.25356674194336,-12.812708854675293,3.5591421127319336,15
347,-9.296770095825195,-12.838065147399902,3.541295051574707,16
125,-8.575498580932617,-11.849349975585938,3.2738513946533203,17
237,-8.219210624694824,-11.40957260131836,3.190361976623535,18
269,-8.297897338867188,-11.327165603637695,3.029268264770508,19
14,-7.606539249420166,-10.51926326751709,2.912724018096924,20
9,-7.461902141571045,-10.318946838378906,2.8570446968078613,21
372,-7.426805019378662,-10.15449047088623,2.7276854515075684,22
166,-7.242554187774658,-9.925999641418457,2.683445453643799,23
8,-6.322139263153076,-8.77325439453125,2.451115131378174,24
80,-5.944331169128418,-8.21524429321289,2.2709131240844727,25
162,-5.871204376220703,-8.093563079833984,2.2223587036132812,26
176,-5.599775314331055,-7.797440052032471,2.197664737701416,27
247,-5.788228511810303,-7.985833168029785,2.1976046562194824,28
12,-5.69215202331543,-7.85182523727417,2.1596732139587402,29
296,-5.600022792816162,-7.7430315017700195,2.1430087089538574,30
