feature_id,activation_score,financial_relevance,interpretation
1,0.85,0.82,"Basic financial terminology recognition"
127,0.92,0.89,"Numerical financial data processing"
141,0.78,0.75,"Financial context understanding"
156,0.87,0.84,"Market condition identification"
2,0.83,0.80,"Financial concept categorization"
25,0.81,0.78,"Basic financial relationship mapping"
3,0.79,0.76,"Financial entity recognition"
373,0.88,0.85,"Financial metric calculation"
384,0.89,0.86,"Financial decision support"
90,0.84,0.81,"Financial pattern recognition"
