layer,feature,label,f1_score
4,239,conjunctions linking related concepts or actions,0.4
4,208,lasting periods or states,0.267
4,66,musical collaboration and instrumentation,0.283
4,0,Relationship or group indicators,0.35
4,334,Directional positioning and geographical boundaries,0.5
4,261,location marker for events or places,0.433
4,288,actions and modifications in historical and technical contexts,0.433
4,94,"\""over\"" indicates spatial or temporal extent",0.25
4,314,After/Post: Following an event or time point,0.367
4,22,"The pattern represents references to specific, named entities or concepts.",0.5
4,86,"Contextual indicator for \""in\"" specifying location or time",0.467
4,332,Specific named entities and locations in narratives,0.533
4,164,Precise numerical and temporal data patterns,0.333
4,333,Specific instance or example marker,0.317
4,267,"Refers to specific, previously mentioned entities or concepts.",0.317
4,197,1990s cultural and historical references,0.217
4,221,Geographic locations and routes in road networks,0.267
4,87,Geographical and cultural place names in various languages,0.583
4,41,Punctuation mark token activations,0.56
4,246,Country or political affiliation mentioned in context,0.35
4,383,Past tense or passive voice indicators,0.233
4,195,Quantitative comparisons and time durations,0.383
4,351,indicates possession or past occurrence,0.35
4,212,directional movement or travel,0.417
4,116,"Roland, rhymed, recovery, rapid",0.183
4,83,declined: reduction or fall in quantity or value,0.2
4,72,leaving/distance from powerful figures or situations,0.233
4,56,Highlighted text markers in context,0.52
4,81,possessive form indicating ownership or association,0.433
4,44,Chinese-ethnic place names or historical figures,0.2
4,189,Numerical thresholds or limits in descriptions,0.417
4,270,Character introductions and story developments,0.383
4,92,Sentence terminators and blank lines,0.44
4,55,Highlighted text segments for emphasis or marking.,0.4
4,138,Sentence and section boundary markers,0.667
4,319,Periods in specific contexts marking breaks or ends.,0.483
4,118,Highlighted text segments for emphasis or marking.,0.38
4,147,final campaign or war,0.217
4,217,freeway and road segments connections,0.25
4,381,Internet dissemination and belief,0.183
4,329,negative consequences or impacts between parties,0.267
4,194,Numeric placeholders or specific words in text patterns,0.433
4,192,Low activation for punctuation and non-content words,0.34
4,130,Punctuation marks in text sequences,0.64
4,90,Activation patterns for specific words and phrases indicating historical or documentary content.,0.36
4,357,magnetic field of stars,0.217
4,385,temporal context markers in narrative sequences,0.433
4,104,1940s-1990s decade markers,0.233
4,247,Names and initials of significant individuals or places,0.517
4,305,Specific numerical values indicating exact counts or durations.,0.467
4,181,State or country names in specific contexts,0.4
4,3,Specific named entities and locations,0.38
4,182,Music album and its songs,0.25
4,325,Section breaks or separators,0.55
4,64,mentions of names and relationships in narratives,0.6
4,313,Significant temporal or ordinal markers,0.55
4,354,Punctuation and sentence delimiters,0.6
4,120,Captive breeding program for endangered species,0.183
4,157,Habitat degradation and conservation efforts,0.2
4,260,Specific temporal references (years/decades),0.483
4,376,Key nouns and initial letters of significant terms,0.633
4,145,found: evidence or discovery of a fact or situation,0.2
4,397,"Temporal references, specifically years 1980s-1990s",0.233
4,234,Key terms with high activation in context,0.283
4,126,"The definite article \""the\"" in specific contexts referring to unique or well-known entities.",0.417
4,326,criminal charges and complaints,0.217
4,186,Year mentions in dates and seasons,0.5
4,82,temporal reference to prior instances or events,0.45
4,328,Named individuals in historical or biographical contexts,0.3
4,166,using as a means or function,0.35
4,47,guitar performance and song composition,0.183
4,101,Year: 1990s-2000s,0.2
4,38,Verbs indicating state or action in past tense,0.433
4,370,final event or stage,0.217
4,23,team performance in critical moments,0.217
4,196,Named entities or proper nouns in text,0.533
4,57,conflict resolution models and historical battleships,0.217
4,24,"demo version, internet distribution",0.183
4,100,"\""both\"" and \""all\"" represent collective dual or comprehensive entities.",0.3
4,361,infrared detection systems for aircraft,0.217
4,342,quoted speech or writing,0.3
4,125,Initiating clauses or actions,0.333
4,367,Equal signs mark recurring scientific or technical terms,0.25
4,271,large areas or structures,0.283
4,50,It refers to a previously mentioned entity or concept.,0.15
4,2,"Location, conflict, and institutions in historical contexts",0.4
4,282,Specific numerical values in dates or counts,0.433
4,45,"into, part of, additional, related to",0.367
4,340,subjects in close monitoring or control,0.2
4,396,Year references in dates or timelines,0.317
4,165,specific instance or location,0.25
4,256,Named entities in proper context,0.317
4,355,Personal pronouns indicating specific individuals or entities,0.283
4,375,Character names and proper nouns in TV shows and movies,0.4
4,9,Historians and experts' opinions and considerations,0.2
4,77,Key figures in specific projects or traditions,0.6
4,229,"repeated, similar, comparative patterns",0.3
4,235,specific geographic or administrative regions and boundaries,0.433
4,258,"Refers to a specific person's actions, thoughts, or creations.",0.6
4,369,"In: temporal marker, often indicating past events or time references",0.3
4,7,Date references in specific months and years,0.317
4,171,state of being covered or beneath another entity,0.25
4,263,"\""both\"" represents pairs or dual relationships.",0.217
4,337,refusal or refusal to do something,0.2
4,220,"Announcements, introductions, and film premieres",0.167
4,207,military and naval forces,0.3
4,224,traversal or directional positioning,0.3
4,206,key article or possessive marker,0.517
4,373,conservation and recovery efforts,0.06
4,363,Punctuation marks in text sequences,0.6
4,48,End-of-sentence markers in diverse texts,0.5
4,343,not indicating negation or contrast,0.167
4,176,Political and ideological movements,0.1
4,4,rebuilding or restoration processes,0.233
4,294,transitional words indicating contrast or pause,0.433
4,215,End-of-sentence marker,0.4
4,335,bowling and related actions in cricket,0.2
4,102,Activations around '>>' often denote quoted or emphasized text.,0.167
4,348,Activations for hyphen and at symbols in context of historical or formal text.,0.617
4,5,Subject pronoun referring to male individuals in specific contexts.,0.25
4,140,population resilience to environmental changes,0.233
4,13,Sentence delimiters and breaks,0.46
4,161,Initial letters of words or proper nouns,0.55
4,142,"community, group, party membership",0.25
4,68,"\""to\"" indicates intended actions or modifications",0.333
4,159,Year placeholders in dates or chronological sequences,0.5
4,62,combat units and warfare technology,0.433
4,80,Sentence boundaries and conjunctions,0.3
4,359,quotation marks around phrases,0.467
4,152,Partially masked terms in text,0.52
4,227,game modifications and design specifics,0.3
4,58,End-of-sentence marker or token,0.4
4,210,temporal reference to events or conditions,0.383
4,327,The: Noun article indicating specific entities,0.183
4,297,weapons and military equipment types,0.06
4,10,"typical, specific descriptors in contexts of science, art, and philosophy",0.3
4,274,The: article indicating specific noun mentions,0.333
4,29,transition/to between locations or concepts,0.3
4,218,End of sentences or idea separations,0.44
4,49,intention or desire to do something,0.217
