feature_number,financial_activation,general_activation,specialization,rank
17,-56.54801559448242,-78.15149688720703,21.60348129272461,1
372,-20.653749465942383,-28.343555450439453,7.68980598449707,2
303,-19.436647415161133,-26.984107971191406,7.547460556030273,3
389,-15.333168983459473,-21.781837463378906,6.448668479919434,4
343,-16.100534439086914,-21.877748489379883,5.777214050292969,5
47,-13.467580795288086,-18.520444869995117,5.052864074707031,6
273,-13.320098876953125,-18.33585548400879,5.015756607055664,7
173,-13.526739120483398,-18.236722946166992,4.709983825683594,8
292,-10.3085298538208,-14.11211109161377,3.8035812377929688,9
384,-10.091608047485352,-13.855447769165039,3.7638397216796875,10
116,-10.036675453186035,-13.604480743408203,3.567805290222168,11
133,-9.315102577209473,-12.834304809570312,3.51920223236084,12
127,-8.44650936126709,-11.717691421508789,3.271182060241699,13
184,-8.409543991088867,-11.609496116638184,3.1999521255493164,14
6,-8.270689010620117,-11.393658638000488,3.122969627380371,15
255,-8.204776763916016,-11.299250602722168,3.0944738388061523,16
167,-8.382855415344238,-11.459172248840332,3.0763168334960938,17
90,-8.334266662597656,-11.4061279296875,3.0718612670898438,18
12,-8.181550979614258,-11.227864265441895,3.0463132858276367,19
201,-8.090876579284668,-11.071104049682617,2.980227470397949,20
318,-7.508805274963379,-10.470703125,2.961897850036621,21
166,-8.013310432434082,-10.95008373260498,2.9367733001708984,22
347,-7.311850547790527,-10.157768249511719,2.8459177017211914,23
52,-6.8497796058654785,-9.60135555267334,2.7515759468078613,24
220,-6.890439987182617,-9.61705207824707,2.726612091064453,25
70,-7.028096675872803,-9.748233795166016,2.720137119293213,26
352,-6.942036151885986,-9.596715927124023,2.654679775238037,27
125,-7.589370250701904,-10.185495376586914,2.5961251258850098,28
105,-7.183383464813232,-9.734731674194336,2.5513482093811035,29
162,-6.700074672698975,-9.227191925048828,2.5271172523498535,30
