statement,label
9 * 8 = 72,1
0 * 10 = -5,0
2 * 4 = 8,1
2 * 2 = -3,0
7 * 8 = 56,1
5 * 1 = -2,0
7 * 9 = 63,1
9 * 6 = 64,0
8 * 3 = 24,1
2 * 8 = 13,0
1 * 7 = 7,1
7 * 7 = 43,0
2 * 9 = 18,1
0 * 5 = 6,0
9 * 6 = 54,1
0 * 9 = -6,0
9 * 0 = 0,1
10 * 5 = 40,0
5 * 4 = 20,1
1 * 2 = -7,0
3 * 9 = 27,1
2 * 9 = 9,0
0 * 0 = 0,1
2 * 0 = -9,0
8 * 9 = 72,1
3 * 4 = 4,0
7 * 6 = 42,1
3 * 8 = 22,0
4 * 8 = 32,1
7 * 3 = 11,0
6 * 2 = 12,1
5 * 4 = 24,0
10 * 5 = 50,1
3 * 1 = -5,0
4 * 9 = 36,1
0 * 4 = -7,0
7 * 5 = 35,1
7 * 1 = 12,0
1 * 1 = 1,1
0 * 9 = 9,0
6 * 7 = 42,1
8 * 7 = 63,0
3 * 8 = 24,1
4 * 9 = 32,0
1 * 2 = 2,1
5 * 10 = 45,0
10 * 8 = 80,1
4 * 2 = -2,0
7 * 10 = 70,1
10 * 7 = 75,0
0 * 3 = 0,1
9 * 5 = 51,0
0 * 6 = 0,1
5 * 7 = 43,0
9 * 1 = 9,1
0 * 8 = -5,0
1 * 0 = 0,1
0 * 4 = -8,0
5 * 10 = 50,1
6 * 9 = 55,0
3 * 5 = 15,1
4 * 3 = 15,0
7 * 5 = 35,1
7 * 0 = 1,0
2 * 4 = 8,1
3 * 5 = 25,0
8 * 0 = 0,1
4 * 0 = -9,0
5 * 5 = 25,1
0 * 7 = -4,0
8 * 9 = 72,1
3 * 9 = 31,0
6 * 10 = 60,1
7 * 5 = 27,0
5 * 10 = 50,1
8 * 9 = 79,0
5 * 0 = 0,1
8 * 0 = 2,0
9 * 10 = 90,1
9 * 4 = 43,0
10 * 10 = 100,1
4 * 9 = 45,0
2 * 7 = 14,1
6 * 0 = 5,0
0 * 7 = 0,1
1 * 4 = 2,0
10 * 0 = 0,1
7 * 4 = 37,0
0 * 5 = 0,1
1 * 2 = -3,0
2 * 7 = 14,1
9 * 0 = 8,0
3 * 6 = 18,1
2 * 2 = 0,0
7 * 8 = 56,1
0 * 0 = -6,0
9 * 9 = 81,1
2 * 1 = 4,0
7 * 9 = 63,1
0 * 5 = 7,0
10 * 2 = 20,1
4 * 1 = 13,0
8 * 5 = 40,1
10 * 2 = 28,0
2 * 9 = 18,1
4 * 4 = 9,0
2 * 1 = 2,1
4 * 0 = -9,0
5 * 9 = 45,1
8 * 0 = -6,0
6 * 1 = 6,1
8 * 8 = 72,0
1 * 2 = 2,1
5 * 10 = 43,0
2 * 7 = 14,1
3 * 10 = 26,0
4 * 1 = 4,1
7 * 4 = 38,0
4 * 8 = 32,1
1 * 2 = -1,0
1 * 4 = 4,1
10 * 7 = 66,0
10 * 8 = 80,1
5 * 4 = 14,0
5 * 5 = 25,1
3 * 2 = 4,0
7 * 1 = 7,1
0 * 7 = -9,0
4 * 1 = 4,1
7 * 8 = 59,0
0 * 4 = 0,1
9 * 0 = 1,0
10 * 8 = 80,1
6 * 7 = 50,0
10 * 9 = 90,1
8 * 3 = 20,0
3 * 6 = 18,1
8 * 6 = 40,0
5 * 10 = 50,1
8 * 2 = 12,0
7 * 3 = 21,1
1 * 4 = 7,0
1 * 1 = 1,1
0 * 5 = -7,0
9 * 0 = 0,1
1 * 3 = 12,0
2 * 8 = 16,1
10 * 1 = 18,0
3 * 2 = 6,1
8 * 5 = 32,0
10 * 5 = 50,1
2 * 2 = 13,0
7 * 1 = 7,1
9 * 6 = 63,0
9 * 2 = 18,1
1 * 10 = 2,0
3 * 9 = 27,1
8 * 10 = 78,0
2 * 10 = 20,1
7 * 3 = 25,0
9 * 5 = 45,1
4 * 10 = 45,0
6 * 4 = 24,1
1 * 9 = 2,0
2 * 4 = 8,1
9 * 0 = 4,0
0 * 7 = 0,1
5 * 10 = 46,0
6 * 7 = 42,1
2 * 6 = 21,0
3 * 1 = 3,1
7 * 9 = 66,0
1 * 6 = 6,1
9 * 6 = 58,0
9 * 4 = 36,1
10 * 3 = 21,0
4 * 1 = 4,1
0 * 2 = 5,0
8 * 2 = 16,1
1 * 10 = 19,0
2 * 2 = 4,1
3 * 3 = 3,0
5 * 8 = 40,1
8 * 4 = 35,0
0 * 8 = 0,1
9 * 7 = 62,0
6 * 3 = 18,1
3 * 7 = 15,0
10 * 2 = 20,1
4 * 7 = 29,0
6 * 9 = 54,1
8 * 5 = 49,0
7 * 4 = 28,1
6 * 1 = -3,0
3 * 7 = 21,1
4 * 7 = 23,0
3 * 5 = 15,1
3 * 9 = 31,0
8 * 1 = 8,1
4 * 0 = -1,0
2 * 4 = 8,1
7 * 0 = -6,0
4 * 10 = 40,1
3 * 7 = 25,0
10 * 5 = 50,1
2 * 0 = -6,0
1 * 6 = 6,1
1 * 6 = 5,0
2 * 1 = 2,1
5 * 6 = 34,0
5 * 8 = 40,1
1 * 8 = 18,0
5 * 7 = 35,1
10 * 10 = 104,0
9 * 8 = 72,1
5 * 0 = -6,0
10 * 9 = 90,1
8 * 9 = 73,0
