statement,label
605 is divisible by 5,1
918 is divisible by 5,0
750 is divisible by 5,1
844 is divisible by 5,0
930 is divisible by 5,1
113 is divisible by 5,0
115 is divisible by 5,1
206 is divisible by 5,0
615 is divisible by 5,1
648 is divisible by 5,0
390 is divisible by 5,1
431 is divisible by 5,0
550 is divisible by 5,1
902 is divisible by 5,0
665 is divisible by 5,1
929 is divisible by 5,0
355 is divisible by 5,1
42 is divisible by 5,0
120 is divisible by 5,1
798 is divisible by 5,0
390 is divisible by 5,1
711 is divisible by 5,0
295 is divisible by 5,1
718 is divisible by 5,0
305 is divisible by 5,1
221 is divisible by 5,0
465 is divisible by 5,1
611 is divisible by 5,0
95 is divisible by 5,1
401 is divisible by 5,0
65 is divisible by 5,1
379 is divisible by 5,0
740 is divisible by 5,1
547 is divisible by 5,0
125 is divisible by 5,1
901 is divisible by 5,0
150 is divisible by 5,1
369 is divisible by 5,0
420 is divisible by 5,1
282 is divisible by 5,0
710 is divisible by 5,1
701 is divisible by 5,0
465 is divisible by 5,1
993 is divisible by 5,0
385 is divisible by 5,1
111 is divisible by 5,0
435 is divisible by 5,1
766 is divisible by 5,0
600 is divisible by 5,1
697 is divisible by 5,0
5 is divisible by 5,1
36 is divisible by 5,0
725 is divisible by 5,1
367 is divisible by 5,0
170 is divisible by 5,1
901 is divisible by 5,0
310 is divisible by 5,1
441 is divisible by 5,0
280 is divisible by 5,1
999 is divisible by 5,0
410 is divisible by 5,1
213 is divisible by 5,0
505 is divisible by 5,1
734 is divisible by 5,0
810 is divisible by 5,1
318 is divisible by 5,0
230 is divisible by 5,1
339 is divisible by 5,0
970 is divisible by 5,1
891 is divisible by 5,0
995 is divisible by 5,1
589 is divisible by 5,0
875 is divisible by 5,1
11 is divisible by 5,0
740 is divisible by 5,1
323 is divisible by 5,0
650 is divisible by 5,1
104 is divisible by 5,0
430 is divisible by 5,1
922 is divisible by 5,0
285 is divisible by 5,1
623 is divisible by 5,0
470 is divisible by 5,1
279 is divisible by 5,0
720 is divisible by 5,1
809 is divisible by 5,0
710 is divisible by 5,1
599 is divisible by 5,0
180 is divisible by 5,1
638 is divisible by 5,0
30 is divisible by 5,1
761 is divisible by 5,0
845 is divisible by 5,1
967 is divisible by 5,0
960 is divisible by 5,1
39 is divisible by 5,0
405 is divisible by 5,1
949 is divisible by 5,0
25 is divisible by 5,1
806 is divisible by 5,0
385 is divisible by 5,1
133 is divisible by 5,0
600 is divisible by 5,1
813 is divisible by 5,0
70 is divisible by 5,1
657 is divisible by 5,0
555 is divisible by 5,1
862 is divisible by 5,0
730 is divisible by 5,1
561 is divisible by 5,0
295 is divisible by 5,1
274 is divisible by 5,0
30 is divisible by 5,1
253 is divisible by 5,0
730 is divisible by 5,1
204 is divisible by 5,0
175 is divisible by 5,1
452 is divisible by 5,0
155 is divisible by 5,1
371 is divisible by 5,0
825 is divisible by 5,1
111 is divisible by 5,0
880 is divisible by 5,1
828 is divisible by 5,0
450 is divisible by 5,1
382 is divisible by 5,0
780 is divisible by 5,1
211 is divisible by 5,0
860 is divisible by 5,1
659 is divisible by 5,0
460 is divisible by 5,1
