feature_number,label,financial_activation,general_activation,specialization,num_financial_examples,num_general_examples
27,,-75.824462890625,-99.707373046875,23.882910156250006,5,5
333,Stock market trading and volatility,-36.03011054992676,-49.40650939941406,13.376398849487302,5,5
154,,1.9268166780471803,-5.698524868488311,7.625341546535491,5,5
262,"* <<The S&P 500 index closed at 4,200 points, up",-13.009699630737305,-18.389083862304688,5.379384231567382,5,5
83,"* 4.923: Stock market performance (specifically, the S&P 500 index)",-12.382755851745605,-17.052638435363768,4.669882583618163,5,5
171,,1.797006332874298,-2.721331071853638,4.518337404727935,5,5
53,* Bitcoin's price volatility: Cryptocurrency market capitalization * Housing market:,-0.7859778702259064,-4.883670711517334,4.097692841291428,5,5
350,,-11.09000129699707,-15.184100723266601,4.094099426269532,5,5
372,,-12.044933128356934,-15.80314655303955,3.7582134246826158,5,5
4,,-4.128850364685059,-7.850011253356934,3.721160888671875,5,5
367,Stock market trading and volatility,-6.763150453567505,-10.456823921203613,3.693673467636108,5,5
224,"Closed at 4,200 points (represents stock market trading and volatility)",-7.664241123199463,-11.207698440551757,3.5434573173522947,5,5
22,,-7.530967330932617,-11.028348922729492,3.4973815917968754,5,5
389,* <<The consumer price index (CPI) rose 0.3% month-over-month in,-5.351935482025146,-8.804450511932373,3.452515029907227,5,5
304,"Closed at 4,200 points (represents stock market trading and volatility)",-8.56025562286377,-11.972655296325684,3.4123996734619144,5,5
181,,-0.18421157598495483,-3.519473695755005,3.33526211977005,5,5
199,"Closed at 4,200 points (represents stock market trading and volatility)",-7.23873233795166,-10.295472526550293,3.056740188598633,5,5
375,Stock market trading and volatility,-5.9354511260986325,-8.958332347869874,3.0228812217712413,5,5
198,,-9.486141014099122,-12.341612434387207,2.855471420288085,5,5
159,Stock market trading and volatility,-8.008314514160157,-10.821257781982421,2.8129432678222646,5,5
131,"s net interest margin) * 7.334: Earnings performance (specifically, the",-6.738051700592041,-9.524021530151368,2.7859698295593267,5,5
328,,-6.590217399597168,-9.211668014526367,2.6214506149291994,5,5
311,,-6.897756099700928,-9.471140670776368,2.57338457107544,5,5
172,,-10.765313148498535,-13.293173789978027,2.527860641479492,5,5
78,,-10.982700538635253,-13.4878511428833,2.5051506042480476,5,5
339,,-6.5004143714904785,-8.934278964996338,2.4338645935058594,5,5
280,Stock market trading and volatility,-5.839976501464844,-8.119438743591308,2.2794622421264643,5,5
242,Stock market trading and volatility,-7.758232593536377,-9.945415115356445,2.187182521820068,5,5
151,,-7.188644504547119,-9.122517108917236,1.9338726043701175,5,5
115,,-12.369113159179687,-13.951525115966797,1.5824119567871104,5,5
