feature_number,financial_activation,general_activation,specialization,rank
133,-77.50133514404297,-106.18441009521484,28.683074951171875,1
162,-38.18941879272461,-52.692012786865234,14.502593994140625,2
203,-32.10163116455078,-45.05216598510742,12.95053482055664,3
214,-17.126726150512695,-24.401844024658203,7.275117874145508,4
66,-15.106383323669434,-22.024906158447266,6.918522834777832,5
340,-18.31003189086914,-24.90218162536621,6.59214973449707,6
105,-14.634759902954102,-20.64936637878418,6.014606475830078,7
267,-13.261348724365234,-18.140466690063477,4.879117965698242,8
332,-12.25071907043457,-16.9996395111084,4.748920440673828,9
181,-10.61450481414795,-15.280781745910645,4.666276931762695,10
72,-9.530354499816895,-13.540690422058105,4.010335922241211,11
83,-8.828997611999512,-12.663372993469238,3.8343753814697266,12
318,-10.208598136901855,-14.026093482971191,3.817495346069336,13
157,-12.56875228881836,-16.13944435119629,3.5706920623779297,14
255,-9.973827362060547,-13.451257705688477,3.4774303436279297,15
239,-8.080364227294922,-11.449762344360352,3.3693981170654297,16
17,-10.685418128967285,-14.026544570922852,3.3411264419555664,17
358,-8.414007186889648,-11.746235847473145,3.332228660583496,18
362,-8.819355964660645,-12.034464836120605,3.215108871459961,19
199,-8.320643424987793,-11.494129180908203,3.17348575592041,20
26,-8.708243370056152,-11.794720649719238,3.086477279663086,21
321,-8.259371757507324,-11.212793350219727,2.9534215927124023,22
149,-7.554646968841553,-10.503159523010254,2.948512554168701,23
229,-12.320032119750977,-15.257787704467773,2.937755584716797,24
22,-8.828328132629395,-11.756583213806152,2.928255081176758,25
250,-8.858777046203613,-11.782268524169922,2.9234914779663086,26
368,-7.857592582702637,-10.768237113952637,2.91064453125,27
0,-7.463563442230225,-10.34110164642334,2.8775382041931152,28
107,-7.519991874694824,-10.361812591552734,2.84182071685791,29
238,-6.9718170166015625,-9.810598373413086,2.8387813568115234,30
