layer,feature,label,f1_score
28,199,military and political events and figures,0.45
28,395,Road routes and directions in geographic contexts,0.25
28,149,geographic regions and their boundaries,0.417
28,46,Deliberate actions or states with specific intent,0.267
28,290,Conservation efforts and strategies,0.217
28,15,Sentence or text segment delimiter,0.5
28,200,Action verbs indicating intent or state,0.283
28,305,key transitional or qualifying words in descriptions,0.55
28,142,"two fielders, pitch presentation, specific game moments",0.25
28,101,Close examination of specific words and phrases highlights recurring themes of character descriptions and evaluations.,0.217
28,104,Buddhist religious figures and practices,0.2
28,5,Characters making decisions or taking actions.,0.533
28,153,military conflicts and conquests,0.367
28,397,Arya and Sunehri's life and criminal activities,0.2
28,152,Equality signs and punctuation in text,0.6
28,138,legal disputes over parodies and inheritance issues,0.183
28,309,Specific years marking events or changes.,0.6
28,266,Equal signs and dashes represent structured lists or sections.,0.217
28,322,"\""was\"" and \""were\"" indicate past state or action completion.",0.4
28,377,"\""of\"" and prepositions linking significant events or concepts",0.333
28,301,duty or role assigned by authority,0.183
28,213,End-of-sentence marker,0.44
28,43,Naval warfare technology and modernization in mid-20th century,0.267
28,230,project funding allocation and implementation,0.183
28,74,End of sentence or section marker,0.44
28,225,specific ordinal or temporal position in sequence,0.367
28,339,violent confrontations or executions,0.317
28,180,Past tense indicator for completed actions,0.283
28,344,geographic locations and administrative divisions,0.467
28,121,political figures and their actions,0.467
28,366,"combat, historical events, and military actions",0.45
28,57,"Contract mentions, legal authority references",0.2
28,75,"modifications, changes, updates to systems or rules",0.25
28,90,political figures and elections,0.25
28,206,Rotation rate and stellar activity changes over time,0.217
28,264,Section breaks or punctuation markers,0.5
28,210,the: connector in various contexts,0.2
28,125,Beyoncé's musical influence and career highlights,0.167
28,196,boundary/limit indicators in geographical or political contexts,0.35
28,165,Historical figures and their conflicts,0.383
28,346,"\""many\"" and \""some\"" representing collective groups",0.2
28,126,Indefinite article referring to specific instances or examples.,0.167
28,88,Project funding disputes and allocations,0.183
28,238,Personal names and historical figures,0.533
28,249,Specific characters or words in context,0.4
28,34,"\""there\"" indicating presence or existence",0.217
28,371,"ing, as, the, of rotations, sizes, types, and actions",0.217
28,105,"route, system, screen, techniques, building, restaurant, instruments, project, efforts, island",0.283
28,217,ideological blocks and influences,0.217
28,334,various pairings or collaborations,0.433
28,306,contrast or exception marker,0.183
28,357,Specific thematic nouns crucial to context.,0.333
28,109,Sentence delimiter token activation,0.56
28,253,Prepositions and auxiliary verbs indicating context and relationships,0.65
28,139,End-of-sentence delimiter,0.42
28,214,Conservation and population decline patterns,0.267
28,144,End-of-sentence marker,0.42
28,321,rotational speed and surface activity in stars,0.2
28,386,Specific tokens or characters in context,0.45
28,93,End-of-sentence marker,0.44
28,135,north/south directions in geographical contexts,0.25
28,63,Past state or condition description,0.383
28,13,"Brief, disconnected textual fragments",0.68
28,388,"by, describing, and, giving, among, warning",0.217
28,299,relationships or transitions between ideas,0.4
28,154,population size or change,0.35
28,258,Game development and technology specifications,0.283
28,394,opportunity for competition or achievement,0.167
28,320,Texts about publication and creation processes,0.417
28,24,"songwriting, production, and hits",0.233
28,50,"Specific locations, directions, or thematic key nouns",0.417
28,40,"production, contract, and related business aspects",0.183
28,375,Arrests and legal charges involving imprisonment,0.233
28,107,Hergé's Tintin animated series and visual novels,0.233
28,287,dangerous and unfair practices,0.167
28,330,action verb indicating consequence or result,0.3
28,23,Historical figures and events,0.583
28,85,box office performance comparison,0.183
28,119,renovation or adaptation efforts,0.2
28,381,actions leading to confinement or restriction,0.217
28,68,Commonly repeated or distinctive words/phrases in text segments,0.367
28,17,airfield development and construction,0.183
28,8,Proper nouns and historical dates,0.36
28,65,"The pattern represents references to specific, concrete nouns and concepts.",0.55
28,19,CGI and traditional animation distinctions,0.2
28,347,Indefinite article referring to specific but not unique instances.,0.167
28,269,Numerical references in specific contexts,0.45
28,44,Religious or spiritual concepts and affiliations,0.267
28,106,Introduces temporal or locative context within narratives,0.367
28,37,"Low-activation, diverse phrases",0.067
28,278,noun/verb endings and prefixes in English,0.567
28,70,ACE Indices for hurricane activity,0.183
28,337,Commas delimiting historical or specific entities,0.4
28,385,Specific phrases or names in technical or historical contexts,0.567
28,117,Activations for parentheses and specific party/organization names.,0.283
28,221,train routes and transportation infrastructure,0.183
28,263,Specific proper nouns or initialisms,0.467
28,197,authoritarian leader or figure,0.267
28,176,Funding and projects management,0.2
28,2,a distinctive element or concept,0.333
28,216,to achieve or accomplish,0.167
28,259,Rafael Trujillo's influence in Dominican Republic history,0.233
28,223,"Arrests, accusations, and legal issues involving specific individuals",0.233
28,304,"References to \""the\"" and specific entities in historical/political contexts",0.35
28,77,"opposition, conflict, or disagreement",0.3
28,128,"significant influence, directional specificity, unique actions",0.317
28,48,Sentence punctuation and endings,0.36
28,32,Battleship design features and armor improvements,0.233
28,228,"fighting, harm, violence",0.267
28,389,"Key events, plans, and beliefs triggering model responses",0.233
28,315,narrative elements or characters' backgrounds,0.55
28,177,Named entities and specific titles/roles,0.5
