layer,feature,label,f1_score
10,84,competitions and achievements during early careers,0.233
10,342,"Low activity, revelations, sound techniques, preparation, loss, reputation, news duty, conservation, destruction, balance",0.283
10,53,Key historical events and their impacts,0.383
10,141,"extensively modified, upgraded, or described",0.317
10,139,Sentence terminators with newlines,0.5
10,350,psychological state or event,0.283
10,47,Cultural/technological influences in media and art history,0.533
10,133,Nature conservation status or political affiliation,0.167
10,390,Place names with specific local or historical significance,0.55
10,286,Racially insensitive storylines or characters,0.183
10,293,religious and political factions,0.217
10,254,Sentence terminators or punctuation marks,0.42
10,41,End-of-sequence token marker,0.44
10,51,comprehensive secondary school reform,0.167
10,224,Military and political alliances/occupations,0.233
10,81,Character names in specific contexts,0.433
10,110,End of sequence/paragraph marker,0.46
10,45,received as rebuke by fans,0.183
10,236,Cause-effect relationships and their contexts,0.267
10,172,Numeric placeholders in text,0.333
10,95,Decade markers in historical contexts,0.383
10,0,"\""of\"" introduces specific instances or subsets within a larger category.",0.35
10,262,technical terms and punctuation marks,0.683
10,114,Numerical values and percentages in specific ranges,0.383
10,153,Numerical rankings or positions in lists or sequences.,0.267
10,242,Specific character or entity mentions with unique identifiers.,0.317
10,330,1990s-2000s reality TV awards and productions,0.2
10,226,tropical cyclone activity patterns,0.283
10,251,Sentence terminators or delimiters,0.46
10,211,Equality signs and dashes in code or text markers,0.35
10,217,first occurrence or release of something significant,0.367
10,199,conjunction linking additional information or actions,0.217
10,396,temporal reference to specific years or dates,0.55
10,162,Specific names or initials in titles or proper nouns,0.533
10,23,severe injuries or deaths,0.183
10,259,Date references in specific years and months,0.367
10,112,Numeric placeholders in dates and years,0.2
10,173,battleship modernization and design features,0.167
10,118,Delimiter token activation,0.56
10,73,historical events and figures,0.467
10,99,Numerical comparisons and approximations,0.383
10,295,legal actions and disputes,0.217
10,361,transition phrases indicating comparison or contrast,0.2
10,195,Distance or area measurements in specific units,0.25
10,19,Transition or conjunction indicating additional information,0.267
10,8,gully and river paths through private lands,0.2
10,218,Sentence terminators with no subsequent activation,0.24
10,378,Numerical placeholders or specific acronyms in text,0.233
10,399,"specific named entities and contexts in historical, technical, or cultural texts",0.517
10,43,Common prepositions and punctuation in formal text,0.417
10,155,development and evolution of specific game engines,0.183
10,343,Post-war political reconstruction and economic recovery,0.2
