feature_number,label,financial_activation,general_activation,specialization,num_financial_examples,num_general_examples
220,"Closed at 4,200 points (represents stock market trading and volatility)",-52.68966827392578,-70.58218383789062,17.892515563964842,5,5
101,(points): Stock market index,-33.65787925720215,-44.452633666992185,10.794754409790038,5,5
353,Stock market trading and volatility,-22.648371505737305,-30.346540451049805,7.698168945312499,5,5
239,Stock market trading and volatility,-15.978161430358886,-21.45046157836914,5.4723001480102536,5,5
387,,-3.424334239959717,-7.640435695648193,4.216101455688476,5,5
396,<<The consumer price index (CPI) rose,-1.3817389845848083,-5.557275438308716,4.1755364537239075,5,5
184,,-11.096710586547852,-14.961008071899414,3.864297485351562,5,5
83,(10,-11.770758628845215,-15.361372375488282,3.5906137466430668,5,5
303,Stock market trading and volatility,-9.951895809173584,-13.470230293273925,3.5183344841003414,5,5
390,(5,-6.73919448852539,-10.233424949645997,3.4942304611206065,5,5
84,"<<The S&P index closed at 4,200 points, up",-8.049375629425048,-11.455199241638184,3.405823612213135,5,5
143,,-7.0253551483154295,-10.223910522460937,3.1985553741455073,5,5
116,,-9.112884330749512,-12.202424812316895,3.089540481567383,5,5
276,,-2.8887043476104735,-5.76297607421875,2.874271726608277,5,5
123,,-7.5666303634643555,-10.343733024597167,2.777102661132812,5,5
198,,-5.548361492156983,-8.2670823097229,2.7187208175659174,5,5
197,,-6.3916936874389645,-9.048106956481934,2.65641326904297,5,5
335,Stock market trading and volatility,-7.448937511444091,-10.094656944274902,2.645719432830811,5,5
351,Stock market trading and volatility,-5.5615949630737305,-8.113872909545899,2.5522779464721683,5,5
131,"* <<The S&P 500 index closed at 4,200 points, up",-6.584607887268066,-9.046300888061523,2.461693000793457,5,5
58,,-7.208570671081543,-9.666996288299561,2.458425617218018,5,5
310,(6,-7.648554420471191,-10.093356704711914,2.4448022842407227,5,5
286,(5,-6.588461303710938,-9.022902488708496,2.4344411849975582,5,5
63,Stock market trading and volatility,-10.172554683685302,-12.597999763488769,2.425445079803467,5,5
281,"- <<The S&P 500 index closed at 4,200 points, up",-8.510058975219726,-10.92529754638672,2.4152385711669933,5,5
389,* 4.200 (S&P 500 index) = Stock market trading and,-8.142117404937744,-10.526059341430663,2.383941936492919,5,5
176,,-6.237721252441406,-8.586439895629884,2.3487186431884775,5,5
272,,-7.201548767089844,-9.528344345092773,2.326795578002929,5,5
334,Stock market trading and volatility,-9.180333137512207,-11.453764533996582,2.2734313964843746,5,5
147,,-9.193222904205323,-11.14655590057373,1.9533329963684078,5,5
