feature_number,financial_activation,general_activation,specialization,rank
220,-59.81434631347656,-83.78982543945312,23.975479125976562,1
101,-38.5730094909668,-53.89508056640625,15.322071075439453,2
353,-25.84567642211914,-35.16520690917969,9.319530487060547,3
239,-18.448692321777344,-25.85724639892578,7.4085540771484375,4
303,-11.573334693908691,-16.78516960144043,5.211834907531738,5
83,-13.434694290161133,-18.481843948364258,5.047149658203125,6
184,-13.166009902954102,-18.03183364868164,4.865823745727539,7
387,-4.639636039733887,-9.413427352905273,4.773791313171387,8
396,-2.8473336696624756,-7.26293420791626,4.415600776672363,9
84,-9.54310417175293,-13.849268913269043,4.306164741516113,10
390,-8.100817680358887,-12.147980690002441,4.047163009643555,11
116,-10.704038619995117,-14.731785774230957,4.02774715423584,12
143,-8.200604438781738,-12.18125057220459,3.9806461334228516,13
123,-8.837373733520508,-12.779669761657715,3.942296028137207,14
276,-4.200192928314209,-8.099796295166016,3.8996033668518066,15
389,-9.227703094482422,-13.010149002075195,3.7824459075927734,16
147,-10.72419261932373,-14.472573280334473,3.748380661010742,17
63,-11.750105857849121,-15.459991455078125,3.709885597229004,18
198,-6.568858623504639,-10.27163028717041,3.7027716636657715,19
286,-7.555811882019043,-11.248815536499023,3.6930036544799805,20
310,-8.727971076965332,-12.22199535369873,3.4940242767333984,21
272,-8.683496475219727,-12.098396301269531,3.4148998260498047,22
334,-10.339484214782715,-13.746515274047852,3.4070310592651367,23
58,-8.124021530151367,-11.520002365112305,3.3959808349609375,24
131,-7.705765247344971,-11.074877738952637,3.369112491607666,25
197,-7.497877597808838,-10.863773345947266,3.3658957481384277,26
351,-6.520382881164551,-9.869734764099121,3.3493518829345703,27
176,-7.087027549743652,-10.407837867736816,3.320810317993164,28
281,-9.648031234741211,-12.947566986083984,3.2995357513427734,29
335,-8.543501853942871,-11.80126953125,3.257767677307129,30
