feature_id,activation_score,interpretability_score,financial_relevance,top_activations
17,0.95,0.88,0.92,"risk,volatility,uncertainty"
173,0.94,0.85,0.89,"bullish,bearish,optimistic,pessimistic"
273,0.96,0.90,0.94,"ROI,ROE,profit margin,revenue"
292,0.89,0.82,0.87,"liquidity,cash flow,working capital"
303,0.91,0.86,0.88,"debt,leverage,credit rating"
343,0.87,0.84,0.85,"market cap,valuation,enterprise value"
372,0.93,0.87,0.91,"dividend,yield,income"
384,0.88,0.83,0.86,"earnings,profitability,net income"
389,0.90,0.85,0.89,"trend,momentum,technical analysis"
47,0.86,0.81,0.84,"sector,industry,market segment"
